,Callsign,Tag,Number,IATA,ICAO
462,Interjet,4O / AIJ,66 ,4O , AIJ
463,IrAero,IO / IAE,8 ,IO , IAE
464,Iran Air,IR / IRA,37 ,IR , IRA
465,Iran Air Tours,B9 / IRB,5 ,B9 , IRB
466,Iran Aseman Airlines,EP / IRC,22 ,EP , IRC
467,Iraqi Airways,IA / IAW,32 ,IA , IAW
468,IRS Airlines,LVB,3 ,,LVB
469,Island Air (USA),WP / MKU,5 ,WP , MKU
470,Islena Airlines,WC / ISV,3 ,WC , ISV
471,Israir Airlines,6H / ISR,5 ,6H , ISR
472,ITI Air,T6 / ITI,1 ,T6 , ITI
473,Izhavia,I8 / IZA,9 ,I8 , IZA
474,Jade Cargo International,JI / JAE,3 ,JI , JAE
475,Jambojet,JX / KQA,35 ,JX , KQA
476,Japan Airlines,JL / JAL,161 ,JL , JAL
477,Japan Transocean Air,NU / JTA,16 ,NU , JTA
478,Jazeera Airways,J9 / JZR,11 ,J9 , JZR
479,Jazz Air,QK / JZA,129 ,QK , JZA
480,Jeju Air,7C / JJA,25 ,7C , JJA
481,Jet Airways,9W / JAI,96 ,9W , JAI
482,Jet Asia Airways,JF / JAA,5 ,JF , JAA
483,Jet Linx Aviation,JTL,1 ,,JTL
484,Jet Logistics,JLG,1 ,,JLG
485,Jet Time,J4 / JTG,18 ,J4 , JTG
486,Jet2,LS / EXS,63 ,LS , EXS
487,Jetairfly,TB / JAF,26 ,TB , JAF
488,JetBlue Airways,B6 / JBU,223 ,B6 , JBU
489,Jetclub,0J / JCS,4 ,0J , JCS
490,JetGo Australia,JG / JGO,3 ,JG , JGO
491,JetLite,S2 / JLL,14 ,S2 , JLL
492,Jetstar Airways,JQ / JST,75 ,JQ , JST
493,Jetstar Asia,3K / JSA,18 ,3K , JSA
494,Jetstar Japan,GK / JJP,20 ,GK , JJP
495,Jetsuite Air,RSP,2 ,,RSP
496,Jin Air,LJ / JNA,22 ,LJ , JNA
497,Jordan Aviation,R5 / JAV,7 ,R5 , JAV
498,Jordan International Air Cargo,JCI,2 ,,JCI
499,Jota Aviation,ENZ,6 ,,ENZ
